X_pos,Altitude,kPascal,Temp_K,Mol_Weight,Density,Atmos,Y
516.857143,222500,0.000023,693.088825,18.972788,0.000022,Thermosphere,4
532.753623,225000,0.000022,693.52895,18.866675,0.00002,Thermosphere,4
549.117647,227500,0.00002,693.969075,18.760563,0.000018,Thermosphere,4
565.970149,230000,0.000019,694.4092,18.65445,0.000016,Thermosphere,4
583.333333,232500,0.000017,694.849325,18.548338,0.000014,Thermosphere,4
601.230769,235000,0.000016,695.28945,18.442225,0.000012,Thermosphere,4
610.153846,237500,0.000015,695.729575,18.336113,0.000009,Thermosphere,4
628.75,240000,0.000013,696.1697,18.23,0.000013,Thermosphere,4
647.936508,242500,0.000012,696.371125,18.143775,0.000012,Thermosphere,4
667.741935,245000,0.000012,696.57255,18.05755,0.000011,Thermosphere,4
688.196721,247500,0.000011,696.773975,17.971325,0.00001,Thermosphere,4
709.333333,250000,0.00001,696.9754,17.8851,0.000009,Thermosphere,4
731.186441,252500,0.000009,697.176825,17.798875,0.000008,Thermosphere,4
753.793103,255000,0.000009,697.37825,17.71265,0.000006,Thermosphere,4
777.192982,257500,0.000008,697.579675,17.626425,0.000005,Thermosphere,4
816,260000,0.000007,697.7811,17.5402,0.000007,Thermosphere,4
841.851852,262500,0.000007,697.873713,17.47055,0.000007,Thermosphere,4
868.679245,265000,0.000007,697.966325,17.4009,0.000006,Thermosphere,4
896.538462,267500,0.000006,698.058938,17.33125,0.000005,Thermosphere,4
925.490196,270000,0.000006,698.15155,17.2616,0.000005,Thermosphere,4
955.6,272500,0.000005,698.244163,17.19195,0.000004,Thermosphere,4
986.938776,275000,0.000005,698.336775,17.1223,0.000004,Thermosphere,4
1019.583333,277500,0.000005,698.429388,17.05265,0.000003,Thermosphere,4
1053.617021,280000,0.000004,698.522,16.983,0.000004,Thermosphere,4
1089.130435,282500,0.000004,698.5648,16.9253,0.000004,Thermosphere,4
1126.222222,285000,0.000004,698.6076,16.8676,0.000003,Thermosphere,4
1165,287500,0.000004,698.6504,16.8099,0.000003,Thermosphere,4
1205.581395,290000,0.000003,698.6932,16.7522,0.000002,Thermosphere,4
1248.095238,292500,0.000003,698.736,16.6945,0.000002,Thermosphere,4
1292.682927,295000,0.000003,698.7788,16.6368,0.000001,Thermosphere,4
1339.5,297500,0.000003,698.8216,16.5791,0.000001,Thermosphere,4
1388.717949,300000,0.000002,698.8644,16.5214,0.000002,Thermosphere,4
