Mon_Year,Date,BGT North of NE 70th Total,Ped South,Ped North,Bike North,Bike South
Jan-2014,1/1/2014,15,0,2,2,11
Jan-2014,1/1/2014,9,1,0,1,7
Jan-2014,1/1/2014,9,0,0,0,9
Jan-2014,1/1/2014,19,0,0,0,19
Jan-2014,1/1/2014,19,0,0,0,19
Jan-2014,1/1/2014,14,0,0,0,14
Jan-2014,1/1/2014,10,0,1,1,8
Jan-2014,1/1/2014,10,2,3,4,1
Jan-2014,1/1/2014,27,12,6,8,1
Jan-2014,1/1/2014,29,5,14,8,2
Jan-2014,1/1/2014,70,14,16,40,0
Jan-2014,1/1/2014,107,20,39,47,1
Jan-2014,1/1/2014,126,36,31,59,0
Jan-2014,1/1/2014,102,21,16,65,0
Jan-2014,1/1/2014,115,16,20,78,1
Jan-2014,1/1/2014,100,25,17,58,0
Jan-2014,1/1/2014,50,18,15,17,0
Jan-2014,1/1/2014,18,6,3,9,0
Jan-2014,1/1/2014,3,1,1,0,1
Jan-2014,1/1/2014,16,5,3,4,4
Jan-2014,1/1/2014,2,0,0,0,2
Jan-2014,1/1/2014,6,2,0,1,3
Jan-2014,1/1/2014,20,3,2,0,15
Jan-2014,1/1/2014,17,0,0,1,16
Jan-2014,1/2/2014,22,0,0,0,22
Jan-2014,1/2/2014,63,0,0,0,63
Jan-2014,1/2/2014,59,0,0,0,59
Jan-2014,1/2/2014,52,0,0,0,52
Jan-2014,1/2/2014,73,0,0,0,73
Jan-2014,1/2/2014,49,1,0,0,48
Jan-2014,1/2/2014,10,2,0,2,6
Jan-2014,1/2/2014,13,4,0,7,2
Jan-2014,1/2/2014,16,5,0,9,2
Jan-2014,1/2/2014,29,14,0,15,0
Jan-2014,1/2/2014,14,9,0,5,0
Jan-2014,1/2/2014,19,9,0,9,1
Jan-2014,1/2/2014,18,9,0,9,0
Jan-2014,1/2/2014,49,11,14,15,9
Jan-2014,1/2/2014,47,12,9,12,14
Jan-2014,1/2/2014,65,16,21,20,8
Jan-2014,1/2/2014,70,15,14,27,14
Jan-2014,1/2/2014,36,2,3,24,7
Jan-2014,1/2/2014,31,2,2,18,9
Jan-2014,1/2/2014,14,1,0,12,1
Jan-2014,1/2/2014,6,0,0,5,1
Jan-2014,1/2/2014,2,1,1,0,0
Jan-2014,1/2/2014,1,1,0,0,0
Jan-2014,1/2/2014,0,0,0,0,0
Jan-2014,1/3/2014,0,0,0,0,0
Jan-2014,1/3/2014,1,0,0,1,0
Jan-2014,1/3/2014,2,0,0,2,0
Jan-2014,1/3/2014,3,1,1,0,1
Jan-2014,1/3/2014,8,0,0,1,7
Jan-2014,1/3/2014,5,1,0,0,4
Jan-2014,1/3/2014,16,3,1,2,10
Jan-2014,1/3/2014,36,1,7,3,25
Jan-2014,1/3/2014,48,6,9,5,28
Jan-2014,1/3/2014,58,9,5,13,31
Jan-2014,1/3/2014,47,12,13,12,10
Jan-2014,1/3/2014,71,16,14,21,20
Jan-2014,1/3/2014,76,15,14,28,19
Jan-2014,1/3/2014,90,15,13,34,28
Jan-2014,1/3/2014,101,18,12,40,31
Jan-2014,1/3/2014,111,15,18,36,42
Jan-2014,1/3/2014,113,23,21,45,24
Jan-2014,1/3/2014,63,5,10,33,15
Jan-2014,1/3/2014,38,6,2,20,10
Jan-2014,1/3/2014,8,1,0,5,2
Jan-2014,1/3/2014,8,0,5,3,0
Jan-2014,1/3/2014,5,1,1,3,0
Jan-2014,1/3/2014,1,0,0,1,0
Jan-2014,1/3/2014,0,0,0,0,0
Jan-2014,1/4/2014,0,0,0,0,0
Jan-2014,1/4/2014,0,0,0,0,0
Jan-2014,1/4/2014,1,0,0,1,0
Jan-2014,1/4/2014,0,0,0,0,0
Jan-2014,1/4/2014,1,0,0,1,0
Jan-2014,1/4/2014,3,1,1,1,0
Jan-2014,1/4/2014,7,2,3,0,2
Jan-2014,1/4/2014,10,4,4,1,1
Jan-2014,1/4/2014,53,10,13,11,19
Jan-2014,1/4/2014,77,22,21,20,14
Jan-2014,1/4/2014,101,24,19,31,27
Jan-2014,1/4/2014,167,26,29,70,42
Jan-2014,1/4/2014,141,18,14,45,64
Jan-2014,1/4/2014,221,16,22,99,84
Jan-2014,1/4/2014,221,29,29,70,93
Jan-2014,1/4/2014,218,30,29,74,85
Jan-2014,1/4/2014,109,27,15,25,42
Jan-2014,1/4/2014,19,5,2,5,7
Jan-2014,1/4/2014,6,2,1,2,1
Jan-2014,1/4/2014,7,1,1,3,2
Jan-2014,1/4/2014,4,1,1,2,0
Jan-2014,1/4/2014,2,0,1,0,1
Jan-2014,1/4/2014,3,2,1,0,0
Jan-2014,1/4/2014,2,1,1,0,0
Jan-2014,1/5/2014,1,0,0,1,0
Jan-2014,1/5/2014,0,0,0,0,0
Jan-2014,1/5/2014,0,0,0,0,0
Jan-2014,1/5/2014,0,0,0,0,0
Jan-2014,1/5/2014,1,0,0,1,0
Jan-2014,1/5/2014,1,0,0,0,1
Jan-2014,1/5/2014,5,0,0,4,1
Jan-2014,1/5/2014,20,2,10,4,4
Jan-2014,1/5/2014,32,9,7,13,3
Jan-2014,1/5/2014,66,13,21,22,10
Jan-2014,1/5/2014,65,18,16,19,12
Jan-2014,1/5/2014,103,12,19,42,30
Jan-2014,1/5/2014,131,16,19,47,49
Jan-2014,1/5/2014,179,29,21,61,68
Jan-2014,1/5/2014,159,31,27,42,59
Jan-2014,1/5/2014,152,24,26,50,52
Jan-2014,1/5/2014,80,24,14,11,31
Jan-2014,1/5/2014,19,6,2,5,6
Jan-2014,1/5/2014,4,2,0,1,1
Jan-2014,1/5/2014,1,0,1,0,0
Jan-2014,1/5/2014,6,2,2,2,0
Jan-2014,1/5/2014,2,0,2,0,0
Jan-2014,1/5/2014,0,0,0,0,0
Jan-2014,1/5/2014,0,0,0,0,0
Jan-2014,1/6/2014,0,0,0,0,0
Jan-2014,1/6/2014,0,0,0,0,0
Jan-2014,1/6/2014,0,0,0,0,0
Jan-2014,1/6/2014,0,0,0,0,0
Jan-2014,1/6/2014,3,0,0,0,3
Jan-2014,1/6/2014,5,0,0,0,5
Jan-2014,1/6/2014,28,5,5,2,16
Jan-2014,1/6/2014,37,5,3,6,23
Jan-2014,1/6/2014,63,8,5,9,41
Jan-2014,1/6/2014,41,7,8,9,17
Jan-2014,1/6/2014,58,18,15,6,19
Jan-2014,1/6/2014,38,11,10,9,8
Jan-2014,1/6/2014,38,12,12,9,5
Jan-2014,1/6/2014,47,11,9,14,13
Jan-2014,1/6/2014,54,8,5,20,21
Jan-2014,1/6/2014,50,10,16,12,12
Jan-2014,1/6/2014,81,15,17,34,15
Jan-2014,1/6/2014,65,6,4,43,12
Jan-2014,1/6/2014,52,1,4,34,13
Jan-2014,1/6/2014,9,0,0,7,2
Jan-2014,1/6/2014,5,0,0,3,2
Jan-2014,1/6/2014,3,0,0,2,1
Jan-2014,1/6/2014,4,0,0,1,3
Jan-2014,1/6/2014,3,0,1,1,1
Jan-2014,1/7/2014,3,2,0,0,1
Jan-2014,1/7/2014,0,0,0,0,0
Jan-2014,1/7/2014,0,0,0,0,0
Jan-2014,1/7/2014,0,0,0,0,0
Jan-2014,1/7/2014,4,0,0,0,4
Jan-2014,1/7/2014,7,0,1,0,6
Jan-2014,1/7/2014,18,2,1,2,13
Jan-2014,1/7/2014,52,11,6,6,29
Jan-2014,1/7/2014,55,8,6,8,33
Jan-2014,1/7/2014,38,9,10,7,12
Jan-2014,1/7/2014,24,7,6,4,7
Jan-2014,1/7/2014,33,8,6,10,9
Jan-2014,1/7/2014,22,6,5,4,7
Jan-2014,1/7/2014,16,3,3,4,6
Jan-2014,1/7/2014,24,5,2,11,6
Jan-2014,1/7/2014,22,4,5,9,4
Jan-2014,1/7/2014,56,6,10,30,10
Jan-2014,1/7/2014,53,5,6,32,10
Jan-2014,1/7/2014,35,4,3,21,7
Jan-2014,1/7/2014,20,0,0,14,6
Jan-2014,1/7/2014,2,1,1,0,0
Jan-2014,1/7/2014,5,0,0,4,1
Jan-2014,1/7/2014,4,2,0,1,1
Jan-2014,1/7/2014,2,0,0,1,1
Jan-2014,1/8/2014,1,0,0,0,1
Jan-2014,1/8/2014,0,0,0,0,0
Jan-2014,1/8/2014,1,0,0,1,0
Jan-2014,1/8/2014,1,0,0,0,1
Jan-2014,1/8/2014,4,0,0,0,4
Jan-2014,1/8/2014,13,1,1,1,10
Jan-2014,1/8/2014,34,10,12,2,10
Jan-2014,1/8/2014,39,2,2,1,34
Jan-2014,1/8/2014,63,11,10,9,33
Jan-2014,1/8/2014,67,12,11,16,28
Jan-2014,1/8/2014,32,8,8,7,9
Jan-2014,1/8/2014,31,6,8,7,10
Jan-2014,1/8/2014,24,7,5,9,3
Jan-2014,1/8/2014,19,4,6,8,1
Jan-2014,1/8/2014,23,4,5,10,4
Jan-2014,1/8/2014,37,8,10,13,6
Jan-2014,1/8/2014,50,10,8,24,8
Jan-2014,1/8/2014,49,4,3,34,8
Jan-2014,1/8/2014,41,0,2,26,13
Jan-2014,1/8/2014,14,3,1,10,0
Jan-2014,1/8/2014,14,0,1,9,4
Jan-2014,1/8/2014,3,1,1,1,0
Jan-2014,1/8/2014,6,4,0,1,1
Jan-2014,1/8/2014,3,2,1,0,0
Jan-2014,1/9/2014,1,0,0,1,0
Jan-2014,1/9/2014,0,0,0,0,0
Jan-2014,1/9/2014,0,0,0,0,0
Jan-2014,1/9/2014,1,0,0,0,1
Jan-2014,1/9/2014,2,0,0,0,2
Jan-2014,1/9/2014,8,2,1,0,5
Jan-2014,1/9/2014,23,5,3,3,12
Jan-2014,1/9/2014,46,4,7,5,30
Jan-2014,1/9/2014,80,6,10,19,45
Jan-2014,1/9/2014,51,6,12,14,19
Jan-2014,1/9/2014,53,18,14,10,11
Jan-2014,1/9/2014,36,10,10,5,11
Jan-2014,1/9/2014,27,6,6,4,11
Jan-2014,1/9/2014,19,3,4,6,6
Jan-2014,1/9/2014,25,7,8,3,7
Jan-2014,1/9/2014,37,10,9,12,6
Jan-2014,1/9/2014,64,9,9,37,9
Jan-2014,1/9/2014,56,3,5,35,13
Jan-2014,1/9/2014,36,5,4,18,9
Jan-2014,1/9/2014,20,0,1,15,4
Jan-2014,1/9/2014,9,1,1,6,1
Jan-2014,1/9/2014,7,1,1,3,2
Jan-2014,1/9/2014,4,1,0,1,2
Jan-2014,1/9/2014,2,0,0,2,0
Jan-2014,1/10/2014,0,0,0,0,0
Jan-2014,1/10/2014,0,0,0,0,0
Jan-2014,1/10/2014,0,0,0,0,0
Jan-2014,1/10/2014,0,0,0,0,0
Jan-2014,1/10/2014,2,0,0,0,2
Jan-2014,1/10/2014,8,2,0,0,6
Jan-2014,1/10/2014,24,7,5,2,10
Jan-2014,1/10/2014,31,5,2,4,20
Jan-2014,1/10/2014,46,6,6,6,28
Jan-2014,1/10/2014,105,37,45,11,12
Jan-2014,1/10/2014,52,17,15,6,14
Jan-2014,1/10/2014,50,18,10,10,12
Jan-2014,1/10/2014,42,14,11,10,7
Jan-2014,1/10/2014,46,11,15,10,10
Jan-2014,1/10/2014,35,11,7,14,3
Jan-2014,1/10/2014,31,7,8,11,5
Jan-2014,1/10/2014,56,12,9,24,11
Jan-2014,1/10/2014,50,2,7,37,4
Jan-2014,1/10/2014,23,1,1,16,5
Jan-2014,1/10/2014,14,2,3,7,2
Jan-2014,1/10/2014,4,0,0,4,0
Jan-2014,1/10/2014,4,0,1,1,2
Jan-2014,1/10/2014,5,1,0,2,2
Jan-2014,1/10/2014,2,1,0,0,1
Jan-2014,1/11/2014,0,0,0,0,0
Jan-2014,1/11/2014,0,0,0,0,0
Jan-2014,1/11/2014,0,0,0,0,0
Jan-2014,1/11/2014,0,0,0,0,0
Jan-2014,1/11/2014,0,0,0,0,0
Jan-2014,1/11/2014,0,0,0,0,0
Jan-2014,1/11/2014,1,0,0,0,1
Jan-2014,1/11/2014,8,2,2,3,1
Jan-2014,1/11/2014,40,9,21,5,5
Jan-2014,1/11/2014,68,24,19,12,13
Jan-2014,1/11/2014,81,17,27,24,13
Jan-2014,1/11/2014,54,24,10,10,10
Jan-2014,1/11/2014,23,4,6,6,7
Jan-2014,1/11/2014,37,7,7,7,16
Jan-2014,1/11/2014,23,9,5,4,5
Jan-2014,1/11/2014,16,7,6,2,1
Jan-2014,1/11/2014,15,4,3,3,5
Jan-2014,1/11/2014,12,4,3,3,2
Jan-2014,1/11/2014,5,1,1,1,2
Jan-2014,1/11/2014,7,2,2,1,2
Jan-2014,1/11/2014,7,2,4,1,0
Jan-2014,1/11/2014,1,1,0,0,0
Jan-2014,1/11/2014,2,1,0,1,0
Jan-2014,1/11/2014,2,0,0,0,2
Jan-2014,1/12/2014,0,0,0,0,0
Jan-2014,1/12/2014,1,0,0,0,1
Jan-2014,1/12/2014,0,0,0,0,0
Jan-2014,1/12/2014,0,0,0,0,0
Jan-2014,1/12/2014,0,0,0,0,0
Jan-2014,1/12/2014,5,0,0,4,1
Jan-2014,1/12/2014,5,1,2,1,1
Jan-2014,1/12/2014,10,2,3,3,2
Jan-2014,1/12/2014,38,5,7,15,11
Jan-2014,1/12/2014,67,27,26,10,4
Jan-2014,1/12/2014,67,17,17,22,11
Jan-2014,1/12/2014,101,26,25,22,28
Jan-2014,1/12/2014,77,12,11,34,20
Jan-2014,1/12/2014,90,16,19,28,27
Jan-2014,1/12/2014,82,14,22,15,31
Jan-2014,1/12/2014,68,21,14,18,15
Jan-2014,1/12/2014,64,21,15,13,15
Jan-2014,1/12/2014,30,8,5,5,12
Jan-2014,1/12/2014,4,1,1,1,1
Jan-2014,1/12/2014,5,3,0,1,1
Jan-2014,1/12/2014,7,3,1,3,0
Jan-2014,1/12/2014,1,0,1,0,0
Jan-2014,1/12/2014,1,1,0,0,0
Jan-2014,1/12/2014,1,0,0,1,0
Jan-2014,1/13/2014,0,0,0,0,0
Jan-2014,1/13/2014,0,0,0,0,0
Jan-2014,1/13/2014,2,0,1,0,1
Jan-2014,1/13/2014,0,0,0,0,0
Jan-2014,1/13/2014,1,0,0,0,1
Jan-2014,1/13/2014,11,0,0,0,11
Jan-2014,1/13/2014,26,4,2,3,17
Jan-2014,1/13/2014,50,4,7,10,29
Jan-2014,1/13/2014,68,6,5,12,45
Jan-2014,1/13/2014,59,11,10,9,29
Jan-2014,1/13/2014,59,17,12,8,22
Jan-2014,1/13/2014,29,7,10,5,7
Jan-2014,1/13/2014,37,10,7,12,8
Jan-2014,1/13/2014,68,15,18,14,21
Jan-2014,1/13/2014,58,11,10,19,18
Jan-2014,1/13/2014,60,13,9,21,17
Jan-2014,1/13/2014,79,10,12,42,15
Jan-2014,1/13/2014,76,9,10,43,14
Jan-2014,1/13/2014,64,7,5,37,15
Jan-2014,1/13/2014,24,2,2,13,7
Jan-2014,1/13/2014,9,0,1,5,3
Jan-2014,1/13/2014,2,1,0,1,0
Jan-2014,1/13/2014,5,2,1,0,2
Jan-2014,1/13/2014,1,1,0,0,0
Jan-2014,1/14/2014,0,0,0,0,0
Jan-2014,1/14/2014,0,0,0,0,0
Jan-2014,1/14/2014,1,0,0,0,1
Jan-2014,1/14/2014,0,0,0,0,0
Jan-2014,1/14/2014,5,0,0,0,5
Jan-2014,1/14/2014,11,0,0,1,10
Jan-2014,1/14/2014,39,7,6,4,22
Jan-2014,1/14/2014,87,17,18,11,41
Jan-2014,1/14/2014,141,50,49,10,32
Jan-2014,1/14/2014,140,49,48,17,26
Jan-2014,1/14/2014,152,60,62,15,15
Jan-2014,1/14/2014,61,23,14,7,17
Jan-2014,1/14/2014,62,14,14,15,19
Jan-2014,1/14/2014,60,10,9,27,14
Jan-2014,1/14/2014,48,5,5,20,18
Jan-2014,1/14/2014,70,13,19,23,15
Jan-2014,1/14/2014,121,31,23,45,22
Jan-2014,1/14/2014,113,11,16,64,22
Jan-2014,1/14/2014,49,5,2,33,9
Jan-2014,1/14/2014,38,3,2,19,14
Jan-2014,1/14/2014,16,0,1,13,2
Jan-2014,1/14/2014,7,1,1,4,1
Jan-2014,1/14/2014,1,0,0,1,0
Jan-2014,1/14/2014,1,0,0,1,0
Jan-2014,1/15/2014,0,0,0,0,0
Jan-2014,1/15/2014,0,0,0,0,0
Jan-2014,1/15/2014,0,0,0,0,0
Jan-2014,1/15/2014,0,0,0,0,0
Jan-2014,1/15/2014,4,0,0,0,4
Jan-2014,1/15/2014,12,0,1,3,8
Jan-2014,1/15/2014,30,5,5,2,18
Jan-2014,1/15/2014,67,9,4,8,46
Jan-2014,1/15/2014,74,8,6,17,43
Jan-2014,1/15/2014,70,11,7,18,34
Jan-2014,1/15/2014,51,6,15,17,13
Jan-2014,1/15/2014,80,15,19,16,30
Jan-2014,1/15/2014,81,24,14,20,23
Jan-2014,1/15/2014,70,15,13,21,21
Jan-2014,1/15/2014,62,3,6,33,20
Jan-2014,1/15/2014,80,15,10,31,24
Jan-2014,1/15/2014,106,16,10,55,25
Jan-2014,1/15/2014,109,8,8,72,21
Jan-2014,1/15/2014,70,5,7,41,17
Jan-2014,1/15/2014,26,3,3,11,9
Jan-2014,1/15/2014,16,2,1,6,7
Jan-2014,1/15/2014,11,1,2,5,3
Jan-2014,1/15/2014,6,2,1,2,1
Jan-2014,1/15/2014,3,0,0,1,2
Jan-2014,1/16/2014,3,0,0,0,3
Jan-2014,1/16/2014,0,0,0,0,0
Jan-2014,1/16/2014,3,0,0,3,0
Jan-2014,1/16/2014,2,0,0,0,2
Jan-2014,1/16/2014,4,0,0,1,3
Jan-2014,1/16/2014,14,1,2,1,10
Jan-2014,1/16/2014,31,8,3,3,17
Jan-2014,1/16/2014,61,9,4,8,40
Jan-2014,1/16/2014,74,8,10,14,42
Jan-2014,1/16/2014,54,10,9,11,24
Jan-2014,1/16/2014,33,11,5,6,11
Jan-2014,1/16/2014,40,9,14,8,9
Jan-2014,1/16/2014,49,11,8,14,16
Jan-2014,1/16/2014,53,8,8,25,12
Jan-2014,1/16/2014,64,9,8,24,23
Jan-2014,1/16/2014,65,19,12,20,14
Jan-2014,1/16/2014,97,14,17,47,19
Jan-2014,1/16/2014,87,8,9,50,20
Jan-2014,1/16/2014,53,2,1,35,15
Jan-2014,1/16/2014,10,0,1,5,4
Jan-2014,1/16/2014,12,1,0,8,3
Jan-2014,1/16/2014,13,1,2,7,3
Jan-2014,1/16/2014,4,0,0,2,2
Jan-2014,1/16/2014,1,1,0,0,0
Jan-2014,1/17/2014,0,0,0,0,0
Jan-2014,1/17/2014,0,0,0,0,0
Jan-2014,1/17/2014,2,0,0,0,2
Jan-2014,1/17/2014,0,0,0,0,0
Jan-2014,1/17/2014,4,0,0,0,4
Jan-2014,1/17/2014,3,0,1,0,2
Jan-2014,1/17/2014,33,8,3,4,18
Jan-2014,1/17/2014,54,7,12,9,26
Jan-2014,1/17/2014,64,9,7,7,41
Jan-2014,1/17/2014,66,9,14,12,31
Jan-2014,1/17/2014,30,11,4,8,7
Jan-2014,1/17/2014,33,4,6,10,13
Jan-2014,1/17/2014,36,9,10,9,8
Jan-2014,1/17/2014,55,14,14,13,14
Jan-2014,1/17/2014,66,15,11,20,20
Jan-2014,1/17/2014,57,10,12,22,13
Jan-2014,1/17/2014,92,15,17,37,23
Jan-2014,1/17/2014,68,6,7,38,17
Jan-2014,1/17/2014,40,2,3,27,8
Jan-2014,1/17/2014,11,0,0,6,5
Jan-2014,1/17/2014,7,0,0,6,1
Jan-2014,1/17/2014,4,0,0,4,0
Jan-2014,1/17/2014,2,1,1,0,0
Jan-2014,1/17/2014,1,0,0,1,0
Jan-2014,1/18/2014,2,0,0,0,2
Jan-2014,1/18/2014,0,0,0,0,0
Jan-2014,1/18/2014,1,0,0,0,1
Jan-2014,1/18/2014,1,0,0,0,1
Jan-2014,1/18/2014,0,0,0,0,0
Jan-2014,1/18/2014,3,1,0,1,1
Jan-2014,1/18/2014,8,1,3,2,2
Jan-2014,1/18/2014,20,0,10,7,3
Jan-2014,1/18/2014,72,20,17,18,17
Jan-2014,1/18/2014,91,17,17,41,16
Jan-2014,1/18/2014,158,28,24,57,49
Jan-2014,1/18/2014,169,23,27,59,60
Jan-2014,1/18/2014,145,19,26,58,42
Jan-2014,1/18/2014,130,22,18,41,49
Jan-2014,1/18/2014,159,22,21,63,53
Jan-2014,1/18/2014,179,34,26,49,70
Jan-2014,1/18/2014,124,29,20,25,50
Jan-2014,1/18/2014,39,5,5,7,22
Jan-2014,1/18/2014,13,1,1,5,6
Jan-2014,1/18/2014,6,1,0,2,3
Jan-2014,1/18/2014,6,0,0,4,2
Jan-2014,1/18/2014,2,0,2,0,0
Jan-2014,1/18/2014,6,4,1,0,1
Jan-2014,1/18/2014,0,0,0,0,0
Jan-2014,1/19/2014,0,0,0,0,0
Jan-2014,1/19/2014,0,0,0,0,0
Jan-2014,1/19/2014,1,0,0,0,1
Jan-2014,1/19/2014,0,0,0,0,0
Jan-2014,1/19/2014,0,0,0,0,0
Jan-2014,1/19/2014,2,0,0,0,2
Jan-2014,1/19/2014,3,0,1,2,0
Jan-2014,1/19/2014,12,4,4,3,1
Jan-2014,1/19/2014,48,13,14,6,15
Jan-2014,1/19/2014,90,24,31,23,12
Jan-2014,1/19/2014,140,39,31,44,26
Jan-2014,1/19/2014,103,28,24,21,30
Jan-2014,1/19/2014,119,15,19,40,45
Jan-2014,1/19/2014,105,19,19,35,32
Jan-2014,1/19/2014,99,12,14,33,40
Jan-2014,1/19/2014,58,11,6,20,21
Jan-2014,1/19/2014,40,12,12,4,12
Jan-2014,1/19/2014,13,4,2,2,5
Jan-2014,1/19/2014,2,0,0,1,1
Jan-2014,1/19/2014,4,0,0,1,3
Jan-2014,1/19/2014,6,1,3,0,2
Jan-2014,1/19/2014,4,3,0,1,0
Jan-2014,1/19/2014,2,0,2,0,0
Jan-2014,1/19/2014,2,2,0,0,0
Jan-2014,1/20/2014,1,0,0,0,1
Jan-2014,1/20/2014,0,0,0,0,0
Jan-2014,1/20/2014,1,0,0,0,1
Jan-2014,1/20/2014,1,0,0,0,1
Jan-2014,1/20/2014,0,0,0,0,0
Jan-2014,1/20/2014,4,0,0,0,4
Jan-2014,1/20/2014,18,3,2,4,9
Jan-2014,1/20/2014,25,4,5,5,11
Jan-2014,1/20/2014,39,10,10,7,12
Jan-2014,1/20/2014,58,13,17,9,19
Jan-2014,1/20/2014,81,25,13,14,29
Jan-2014,1/20/2014,109,25,22,43,19
Jan-2014,1/20/2014,119,22,22,39,36
Jan-2014,1/20/2014,142,12,21,64,45
Jan-2014,1/20/2014,153,18,15,59,61
Jan-2014,1/20/2014,145,19,20,57,49
Jan-2014,1/20/2014,140,26,22,42,50
Jan-2014,1/20/2014,61,13,7,15,26
Jan-2014,1/20/2014,16,2,0,10,4
Jan-2014,1/20/2014,15,0,0,9,6
Jan-2014,1/20/2014,5,0,0,4,1
Jan-2014,1/20/2014,3,1,1,1,0
Jan-2014,1/20/2014,2,1,1,0,0
Jan-2014,1/20/2014,0,0,0,0,0
Jan-2014,1/21/2014,1,0,0,0,1
Jan-2014,1/21/2014,0,0,0,0,0
Jan-2014,1/21/2014,0,0,0,0,0
Jan-2014,1/21/2014,0,0,0,0,0
Jan-2014,1/21/2014,5,0,0,0,5
Jan-2014,1/21/2014,5,0,0,1,4
Jan-2014,1/21/2014,30,3,4,5,18
Jan-2014,1/21/2014,53,7,6,5,35
Jan-2014,1/21/2014,69,5,10,16,38
Jan-2014,1/21/2014,63,9,10,15,29
Jan-2014,1/21/2014,50,14,9,7,20
Jan-2014,1/21/2014,26,8,5,5,8
Jan-2014,1/21/2014,47,12,11,15,9
Jan-2014,1/21/2014,45,10,6,19,10
Jan-2014,1/21/2014,62,5,14,24,19
Jan-2014,1/21/2014,69,14,6,32,17
Jan-2014,1/21/2014,97,14,16,51,16
Jan-2014,1/21/2014,78,2,8,46,22
Jan-2014,1/21/2014,59,5,1,37,16
Jan-2014,1/21/2014,34,3,4,15,12
Jan-2014,1/21/2014,19,4,8,4,3
Jan-2014,1/21/2014,9,1,1,5,2
Jan-2014,1/21/2014,2,0,0,2,0
Jan-2014,1/21/2014,0,0,0,0,0
Jan-2014,1/22/2014,0,0,0,0,0
Jan-2014,1/22/2014,0,0,0,0,0
Jan-2014,1/22/2014,1,0,0,1,0
Jan-2014,1/22/2014,0,0,0,0,0
Jan-2014,1/22/2014,5,0,0,0,5
Jan-2014,1/22/2014,8,0,0,0,8
Jan-2014,1/22/2014,25,4,4,3,14
Jan-2014,1/22/2014,55,7,2,5,41
Jan-2014,1/22/2014,68,7,7,13,41
Jan-2014,1/22/2014,66,16,13,13,24
Jan-2014,1/22/2014,45,9,14,11,11
Jan-2014,1/22/2014,45,13,9,7,16
Jan-2014,1/22/2014,47,17,9,13,8
Jan-2014,1/22/2014,35,6,7,13,9
Jan-2014,1/22/2014,54,7,7,18,22
Jan-2014,1/22/2014,59,9,9,23,18
Jan-2014,1/22/2014,108,17,22,47,22
Jan-2014,1/22/2014,94,11,13,55,15
Jan-2014,1/22/2014,63,4,3,41,15
Jan-2014,1/22/2014,27,3,0,20,4
Jan-2014,1/22/2014,10,2,1,6,1
Jan-2014,1/22/2014,10,2,1,4,3
Jan-2014,1/22/2014,8,2,1,4,1
Jan-2014,1/22/2014,0,0,0,0,0
Jan-2014,1/23/2014,0,0,0,0,0
Jan-2014,1/23/2014,0,0,0,0,0
Jan-2014,1/23/2014,0,0,0,0,0
Jan-2014,1/23/2014,0,0,0,0,0
Jan-2014,1/23/2014,4,0,0,1,3
Jan-2014,1/23/2014,6,0,0,0,6
Jan-2014,1/23/2014,31,2,4,2,23
Jan-2014,1/23/2014,50,8,3,5,34
Jan-2014,1/23/2014,59,9,7,6,37
Jan-2014,1/23/2014,58,8,10,12,28
Jan-2014,1/23/2014,47,18,13,8,8
Jan-2014,1/23/2014,47,14,8,12,13
Jan-2014,1/23/2014,60,9,12,21,18
Jan-2014,1/23/2014,52,13,10,17,12
Jan-2014,1/23/2014,78,14,14,26,24
Jan-2014,1/23/2014,104,22,21,33,28
Jan-2014,1/23/2014,91,14,13,42,22
Jan-2014,1/23/2014,98,15,13,53,17
Jan-2014,1/23/2014,44,2,2,31,9
Jan-2014,1/23/2014,27,0,3,19,5
Jan-2014,1/23/2014,9,2,1,5,1
Jan-2014,1/23/2014,20,2,1,7,10
Jan-2014,1/23/2014,0,0,0,0,0
Jan-2014,1/23/2014,1,0,1,0,0
Jan-2014,1/24/2014,4,1,0,1,2
Jan-2014,1/24/2014,1,0,0,0,1
Jan-2014,1/24/2014,2,0,0,1,1
Jan-2014,1/24/2014,0,0,0,0,0
Jan-2014,1/24/2014,3,0,0,0,3
Jan-2014,1/24/2014,5,0,0,0,5
Jan-2014,1/24/2014,30,2,3,4,21
Jan-2014,1/24/2014,58,9,11,4,34
Jan-2014,1/24/2014,66,6,5,9,46
Jan-2014,1/24/2014,51,8,7,8,28
Jan-2014,1/24/2014,52,15,18,9,10
Jan-2014,1/24/2014,61,17,13,17,14
Jan-2014,1/24/2014,50,6,8,19,17
Jan-2014,1/24/2014,92,17,20,30,25
Jan-2014,1/24/2014,102,14,9,43,36
Jan-2014,1/24/2014,90,11,13,32,34
Jan-2014,1/24/2014,116,9,18,55,34
Jan-2014,1/24/2014,81,12,11,45,13
Jan-2014,1/24/2014,41,3,4,21,13
Jan-2014,1/24/2014,19,2,3,10,4
Jan-2014,1/24/2014,10,0,1,4,5
Jan-2014,1/24/2014,7,2,0,4,1
Jan-2014,1/24/2014,0,0,0,0,0
Jan-2014,1/24/2014,3,0,0,1,2
Jan-2014,1/25/2014,2,0,0,2,0
Jan-2014,1/25/2014,0,0,0,0,0
Jan-2014,1/25/2014,1,0,0,0,1
Jan-2014,1/25/2014,0,0,0,0,0
Jan-2014,1/25/2014,1,0,0,0,1
