time,temp_change
12/01/1910,-0.67
01/01/1911,-0.62
02/01/1911,-0.57
03/01/1911,-0.61
04/01/1911,-0.53
05/01/1911,-0.50
06/01/1911,-0.49
07/01/1911,-0.41
08/01/1911,-0.43
09/01/1911,-0.41
10/01/1911,-0.26
11/01/1911,-0.21
12/01/1911,-0.21
01/01/1912,-0.25
02/01/1912,-0.14
03/01/1912,-0.37
04/01/1912,-0.17
05/01/1912,-0.21
06/01/1912,-0.22
07/01/1912,-0.42
08/01/1912,-0.54
09/01/1912,-0.58
10/01/1912,-0.57
11/01/1912,-0.38
12/01/1912,-0.43
01/01/1913,-0.41
02/01/1913,-0.45
03/01/1913,-0.42
04/01/1913,-0.39
05/01/1913,-0.44
06/01/1913,-0.45
07/01/1913,-0.36
08/01/1913,-0.33
09/01/1913,-0.35
10/01/1913,-0.32
11/01/1913,-0.19
12/01/1913,-0.02
01/01/1914,0.05
02/01/1914,-0.10
03/01/1914,-0.24
04/01/1914,-0.29
05/01/1914,-0.21
06/01/1914,-0.25
07/01/1914,-0.23
08/01/1914,-0.16
09/01/1914,-0.17
10/01/1914,-0.03
11/01/1914,-0.15
12/01/1914,-0.04
01/01/1915,-0.20
02/01/1915,-0.04
03/01/1915,-0.10
04/01/1915,0.06
05/01/1915,-0.06
06/01/1915,-0.22
07/01/1915,-0.12
08/01/1915,-0.22
09/01/1915,-0.21
10/01/1915,-0.24
11/01/1915,-0.13
12/01/1915,-0.22
01/01/1916,-0.12
02/01/1916,-0.14
03/01/1916,-0.28
04/01/1916,-0.30
05/01/1916,-0.34
06/01/1916,-0.49
07/01/1916,-0.37
08/01/1916,-0.28
09/01/1916,-0.36
10/01/1916,-0.33
11/01/1916,-0.46
12/01/1916,-0.82
01/01/1917,-0.57
02/01/1917,-0.63
03/01/1917,-0.64
04/01/1917,-0.54
05/01/1917,-0.54
06/01/1917,-0.43
07/01/1917,-0.25
08/01/1917,-0.22
09/01/1917,-0.23
10/01/1917,-0.44
11/01/1917,-0.33
12/01/1917,-0.67
01/01/1918,-0.47
02/01/1918,-0.34
03/01/1918,-0.25
04/01/1918,-0.43
05/01/1918,-0.43
06/01/1918,-0.36
07/01/1918,-0.31
08/01/1918,-0.31
09/01/1918,-0.17
10/01/1918,-0.06
11/01/1918,-0.11
12/01/1918,-0.29
01/01/1919,-0.20
02/01/1919,-0.24
03/01/1919,-0.21
04/01/1919,-0.12
05/01/1919,-0.27
06/01/1919,-0.36
07/01/1919,-0.29
08/01/1919,-0.32
09/01/1919,-0.25
10/01/1919,-0.20
11/01/1919,-0.41
12/01/1919,-0.42
01/01/1920,-0.24
02/01/1920,-0.26
03/01/1920,-0.12
04/01/1920,-0.24
05/01/1920,-0.26
06/01/1920,-0.35
07/01/1920,-0.30
08/01/1920,-0.26
09/01/1920,-0.22
10/01/1920,-0.26
11/01/1920,-0.26
12/01/1920,-0.46
01/01/1921,-0.05
02/01/1921,-0.17
03/01/1921,-0.23
04/01/1921,-0.29
05/01/1921,-0.30
06/01/1921,-0.27
07/01/1921,-0.15
08/01/1921,-0.26
09/01/1921,-0.19
10/01/1921,-0.03
11/01/1921,-0.14
12/01/1921,-0.18
01/01/1922,-0.33
02/01/1922,-0.44
03/01/1922,-0.15
04/01/1922,-0.22
05/01/1922,-0.33
06/01/1922,-0.30
07/01/1922,-0.27
08/01/1922,-0.32
09/01/1922,-0.36
10/01/1922,-0.33
11/01/1922,-0.14
12/01/1922,-0.18
01/01/1923,-0.27
02/01/1923,-0.39
03/01/1923,-0.34
04/01/1923,-0.40
05/01/1923,-0.33
06/01/1923,-0.29
07/01/1923,-0.30
08/01/1923,-0.33
09/01/1923,-0.31
10/01/1923,-0.13
11/01/1923,-0.02
12/01/1923,-0.04
01/01/1924,-0.23
02/01/1924,-0.24
03/01/1924,-0.08
04/01/1924,-0.31
05/01/1924,-0.18
06/01/1924,-0.26
07/01/1924,-0.29
08/01/1924,-0.36
09/01/1924,-0.32
10/01/1924,-0.35
11/01/1924,-0.21
12/01/1924,-0.43
01/01/1925,-0.38
02/01/1925,-0.40
03/01/1925,-0.27
04/01/1925,-0.25
05/01/1925,-0.29
06/01/1925,-0.32
07/01/1925,-0.26
08/01/1925,-0.20
09/01/1925,-0.20
10/01/1925,-0.17
11/01/1925,0.05
12/01/1925,0.06
01/01/1926,0.21
02/01/1926,0.03
03/01/1926,0.11
04/01/1926,-0.12
05/01/1926,-0.23
06/01/1926,-0.25
07/01/1926,-0.27
08/01/1926,-0.13
09/01/1926,-0.14
10/01/1926,-0.11
11/01/1926,-0.05
12/01/1926,-0.29
01/01/1927,-0.26
02/01/1927,-0.18
03/01/1927,-0.38
04/01/1927,-0.31
05/01/1927,-0.25
06/01/1927,-0.27
07/01/1927,-0.18
08/01/1927,-0.24
09/01/1927,-0.13
10/01/1927,-0.01
11/01/1927,-0.05
12/01/1927,-0.33
01/01/1928,-0.02
02/01/1928,-0.09
03/01/1928,-0.25
04/01/1928,-0.27
05/01/1928,-0.29
06/01/1928,-0.38
07/01/1928,-0.19
08/01/1928,-0.22
09/01/1928,-0.21
10/01/1928,-0.19
11/01/1928,-0.09
12/01/1928,-0.16
01/01/1929,-0.45
02/01/1929,-0.58
03/01/1929,-0.33
04/01/1929,-0.41
05/01/1929,-0.37
06/01/1929,-0.43
07/01/1929,-0.37
08/01/1929,-0.32
09/01/1929,-0.25
10/01/1929,-0.14
11/01/1929,-0.11
12/01/1929,-0.54
01/01/1930,-0.30
02/01/1930,-0.27
03/01/1930,-0.11
04/01/1930,-0.24
05/01/1930,-0.24
06/01/1930,-0.21
07/01/1930,-0.21
08/01/1930,-0.15
09/01/1930,-0.15
10/01/1930,-0.12
11/01/1930,0.17
12/01/1930,-0.06
01/01/1931,-0.11
02/01/1931,-0.21
03/01/1931,-0.10
04/01/1931,-0.22
05/01/1931,-0.19
06/01/1931,-0.08
07/01/1931,-0.04
08/01/1931,-0.04
09/01/1931,-0.07
10/01/1931,0.05
11/01/1931,-0.05
12/01/1931,-0.06
01/01/1932,0.15
02/01/1932,-0.17
03/01/1932,-0.18
04/01/1932,-0.06
05/01/1932,-0.17
06/01/1932,-0.29
07/01/1932,-0.25
08/01/1932,-0.22
09/01/1932,-0.11
10/01/1932,-0.09
11/01/1932,-0.27
12/01/1932,-0.26
01/01/1933,-0.23
02/01/1933,-0.29
03/01/1933,-0.30
04/01/1933,-0.24
05/01/1933,-0.29
06/01/1933,-0.34
07/01/1933,-0.21
08/01/1933,-0.23
09/01/1933,-0.29
10/01/1933,-0.25
11/01/1933,-0.30
12/01/1933,-0.44
01/01/1934,-0.21
02/01/1934,-0.03
03/01/1934,-0.29
04/01/1934,-0.30
05/01/1934,-0.09
06/01/1934,-0.15
07/01/1934,-0.10
08/01/1934,-0.12
09/01/1934,-0.15
10/01/1934,-0.06
11/01/1934,0.04
12/01/1934,-0.02
01/01/1935,-0.34
02/01/1935,0.14
03/01/1935,-0.14
04/01/1935,-0.36
05/01/1935,-0.29
06/01/1935,-0.27
07/01/1935,-0.22
08/01/1935,-0.22
09/01/1935,-0.21
10/01/1935,-0.05
11/01/1935,-0.26
12/01/1935,-0.17
01/01/1936,-0.27
02/01/1936,-0.38
03/01/1936,-0.21
04/01/1936,-0.20
05/01/1936,-0.16
06/01/1936,-0.21
07/01/1936,-0.10
08/01/1936,-0.13
09/01/1936,-0.09
10/01/1936,-0.03
11/01/1936,0.02
12/01/1936,-0.01
01/01/1937,-0.07
02/01/1937,0.03
03/01/1937,-0.21
04/01/1937,-0.15
05/01/1937,-0.05
06/01/1937,-0.05
07/01/1937,-0.03
08/01/1937,0.02
09/01/1937,0.09
10/01/1937,0.09
11/01/1937,0.08
12/01/1937,-0.07
01/01/1938,0.08
02/01/1938,0.03
03/01/1938,0.09
04/01/1938,0.06
05/01/1938,-0.09
06/01/1938,-0.17
07/01/1938,-0.09
08/01/1938,-0.05
09/01/1938,0.00
10/01/1938,0.15
11/01/1938,0.08
12/01/1938,-0.12
01/01/1939,-0.05
02/01/1939,-0.06
03/01/1939,-0.17
04/01/1939,-0.09
05/01/1939,-0.04
06/01/1939,-0.07
07/01/1939,-0.06
08/01/1939,-0.06
09/01/1939,-0.07
10/01/1939,-0.03
11/01/1939,0.07
12/01/1939,0.44
01/01/1940,0.00
02/01/1940,0.08
03/01/1940,0.10
04/01/1940,0.18
05/01/1940,0.11
06/01/1940,0.12
07/01/1940,0.13
08/01/1940,0.07
09/01/1940,0.15
10/01/1940,0.11
11/01/1940,0.17
12/01/1940,0.32
01/01/1941,0.18
02/01/1941,0.31
03/01/1941,0.10
04/01/1941,0.17
05/01/1941,0.17
06/01/1941,0.13
07/01/1941,0.22
08/01/1941,0.15
09/01/1941,0.02
10/01/1941,0.35
11/01/1941,0.23
12/01/1941,0.22
01/01/1942,0.30
02/01/1942,0.03
03/01/1942,0.05
04/01/1942,0.10
05/01/1942,0.11
06/01/1942,0.05
07/01/1942,0.01
08/01/1942,-0.04
09/01/1942,-0.03
10/01/1942,0.01
11/01/1942,0.10
12/01/1942,0.13
01/01/1943,-0.01
02/01/1943,0.17
03/01/1943,-0.03
04/01/1943,0.11
05/01/1943,0.07
06/01/1943,-0.05
07/01/1943,0.09
08/01/1943,0.01
09/01/1943,0.05
10/01/1943,0.23
11/01/1943,0.20
12/01/1943,0.24
01/01/1944,0.36
02/01/1944,0.24
03/01/1944,0.26
04/01/1944,0.19
05/01/1944,0.19
06/01/1944,0.16
07/01/1944,0.18
08/01/1944,0.18
09/01/1944,0.28
10/01/1944,0.26
11/01/1944,0.11
12/01/1944,0.04
01/01/1945,0.10
02/01/1945,0.00
03/01/1945,0.06
04/01/1945,0.19
05/01/1945,0.06
06/01/1945,0.01
07/01/1945,0.03
08/01/1945,0.26
09/01/1945,0.20
10/01/1945,0.18
11/01/1945,0.07
12/01/1945,-0.07
01/01/1946,0.15
02/01/1946,0.03
03/01/1946,0.02
04/01/1946,0.06
05/01/1946,-0.07
06/01/1946,-0.21
07/01/1946,-0.12
08/01/1946,-0.20
09/01/1946,-0.08
10/01/1946,-0.07
11/01/1946,-0.05
12/01/1946,-0.31
01/01/1947,-0.06
02/01/1947,-0.08
03/01/1947,0.06
04/01/1947,0.06
05/01/1947,-0.02
06/01/1947,-0.02
07/01/1947,-0.04
08/01/1947,-0.07
09/01/1947,-0.12
10/01/1947,0.07
11/01/1947,0.03
12/01/1947,-0.13
01/01/1948,0.07
02/01/1948,-0.14
03/01/1948,-0.24
04/01/1948,-0.12
05/01/1948,-0.01
06/01/1948,-0.05
07/01/1948,-0.11
08/01/1948,-0.12
09/01/1948,-0.14
10/01/1948,-0.05
11/01/1948,-0.12
12/01/1948,-0.23
01/01/1949,0.07
02/01/1949,-0.14
03/01/1949,-0.02
04/01/1949,-0.11
05/01/1949,-0.10
06/01/1949,-0.27
07/01/1949,-0.13
08/01/1949,-0.12
09/01/1949,-0.14
10/01/1949,-0.06
11/01/1949,-0.10
12/01/1949,-0.18
01/01/1950,-0.26
02/01/1950,-0.27
03/01/1950,-0.08
04/01/1950,-0.21
05/01/1950,-0.11
06/01/1950,-0.05
07/01/1950,-0.09
08/01/1950,-0.16
09/01/1950,-0.11
10/01/1950,-0.20
11/01/1950,-0.34
12/01/1950,-0.21
01/01/1951,-0.34
02/01/1951,-0.41
03/01/1951,-0.20
04/01/1951,-0.14
05/01/1951,0.00
06/01/1951,-0.07
07/01/1951,-0.01
08/01/1951,0.06
09/01/1951,0.05
10/01/1951,0.08
11/01/1951,-0.01
12/01/1951,0.16
01/01/1952,0.11
02/01/1952,0.11
03/01/1952,-0.08
04/01/1952,0.03
05/01/1952,-0.03
06/01/1952,-0.03
07/01/1952,0.04
08/01/1952,0.05
09/01/1952,0.07
10/01/1952,0.00
11/01/1952,-0.13
12/01/1952,-0.02
01/01/1953,0.08
02/01/1953,0.15
03/01/1953,0.11
04/01/1953,0.19
05/01/1953,0.12
06/01/1953,0.12
07/01/1953,0.01
08/01/1953,0.05
09/01/1953,0.04
10/01/1953,0.08
11/01/1953,-0.03
12/01/1953,0.05
01/01/1954,-0.24
02/01/1954,-0.10
03/01/1954,-0.15
04/01/1954,-0.14
05/01/1954,-0.20
06/01/1954,-0.18
07/01/1954,-0.19
08/01/1954,-0.17
09/01/1954,-0.10
10/01/1954,-0.02
11/01/1954,0.08
12/01/1954,-0.18
01/01/1955,0.13
02/01/1955,-0.16
03/01/1955,-0.32
04/01/1955,-0.22
05/01/1955,-0.20
06/01/1955,-0.14
07/01/1955,-0.11
08/01/1955,0.02
09/01/1955,-0.11
10/01/1955,-0.05
11/01/1955,-0.25
12/01/1955,-0.28
01/01/1956,-0.13
02/01/1956,-0.24
03/01/1956,-0.21
04/01/1956,-0.28
05/01/1956,-0.29
06/01/1956,-0.16
07/01/1956,-0.09
08/01/1956,-0.26
09/01/1956,-0.19
10/01/1956,-0.23
11/01/1956,-0.15
12/01/1956,-0.06
01/01/1957,-0.09
02/01/1957,-0.03
03/01/1957,-0.05
04/01/1957,0.00
05/01/1957,0.09
06/01/1957,0.16
07/01/1957,0.02
08/01/1957,0.15
09/01/1957,0.09
10/01/1957,0.01
11/01/1957,0.07
12/01/1957,0.15
01/01/1958,0.39
02/01/1958,0.22
03/01/1958,0.08
04/01/1958,0.01
05/01/1958,0.06
06/01/1958,-0.09
07/01/1958,0.05
08/01/1958,-0.05
09/01/1958,-0.02
10/01/1958,0.04
11/01/1958,0.02
12/01/1958,0.01
01/01/1959,0.08
02/01/1959,0.07
03/01/1959,0.18
04/01/1959,0.16
05/01/1959,0.04
06/01/1959,0.03
07/01/1959,0.03
08/01/1959,-0.01
09/01/1959,-0.06
10/01/1959,-0.07
11/01/1959,-0.08
12/01/1959,-0.01
01/01/1960,0.00
02/01/1960,0.13
03/01/1960,-0.35
04/01/1960,-0.15
05/01/1960,-0.08
06/01/1960,-0.04
07/01/1960,-0.04
08/01/1960,0.02
09/01/1960,0.07
10/01/1960,0.05
11/01/1960,-0.11
12/01/1960,0.18
01/01/1961,0.07
02/01/1961,0.19
03/01/1961,0.09
04/01/1961,0.13
05/01/1961,0.12
06/01/1961,0.11
07/01/1961,0.01
08/01/1961,0.00
09/01/1961,0.08
10/01/1961,0.00
11/01/1961,0.03
12/01/1961,-0.16
01/01/1962,0.05
02/01/1962,0.14
03/01/1962,0.10
04/01/1962,0.05
05/01/1962,-0.06
06/01/1962,0.03
07/01/1962,0.02
08/01/1962,-0.01
09/01/1962,0.00
10/01/1962,0.01
11/01/1962,0.06
12/01/1962,-0.03
01/01/1963,-0.03
02/01/1963,0.18
03/01/1963,-0.14
04/01/1963,-0.07
05/01/1963,-0.06
06/01/1963,0.05
07/01/1963,0.06
08/01/1963,0.22
09/01/1963,0.17
10/01/1963,0.14
11/01/1963,0.15
12/01/1963,-0.03
01/01/1964,-0.09
02/01/1964,-0.10
03/01/1964,-0.21
04/01/1964,-0.32
05/01/1964,-0.25
06/01/1964,-0.04
07/01/1964,-0.04
08/01/1964,-0.22
09/01/1964,-0.29
10/01/1964,-0.32
11/01/1964,-0.21
12/01/1964,-0.30
01/01/1965,-0.08
02/01/1965,-0.18
03/01/1965,-0.13
04/01/1965,-0.19
05/01/1965,-0.12
06/01/1965,-0.08
07/01/1965,-0.13
08/01/1965,-0.04
09/01/1965,-0.15
10/01/1965,-0.05
11/01/1965,-0.06
12/01/1965,-0.08
01/01/1966,-0.19
02/01/1966,-0.05
03/01/1966,0.03
04/01/1966,-0.13
05/01/1966,-0.12
06/01/1966,0.01
07/01/1966,0.08
08/01/1966,-0.09
09/01/1966,-0.03
10/01/1966,-0.16
11/01/1966,-0.01
12/01/1966,-0.03
01/01/1967,-0.07
02/01/1967,-0.21
03/01/1967,0.05
04/01/1967,-0.05
05/01/1967,0.12
06/01/1967,-0.08
07/01/1967,0.02
08/01/1967,0.01
09/01/1967,-0.06
10/01/1967,0.09
11/01/1967,-0.05
12/01/1967,-0.05
01/01/1968,-0.26
02/01/1968,-0.14
03/01/1968,0.20
04/01/1968,-0.06
05/01/1968,-0.14
06/01/1968,-0.09
07/01/1968,-0.13
08/01/1968,-0.09
09/01/1968,-0.19
10/01/1968,0.09
11/01/1968,-0.05
12/01/1968,-0.15
01/01/1969,-0.11
02/01/1969,-0.18
03/01/1969,0.01
04/01/1969,0.17
05/01/1969,0.18
06/01/1969,0.03
07/01/1969,-0.04
08/01/1969,0.03
09/01/1969,0.09
10/01/1969,0.10
11/01/1969,0.12
12/01/1969,0.24
01/01/1970,0.08
02/01/1970,0.22
03/01/1970,0.06
04/01/1970,0.05
05/01/1970,-0.04
06/01/1970,-0.03
07/01/1970,0.01
08/01/1970,-0.10
09/01/1970,0.12
10/01/1970,0.03
11/01/1970,0.02
12/01/1970,-0.12
01/01/1971,-0.02
02/01/1971,-0.16
03/01/1971,-0.18
04/01/1971,-0.07
05/01/1971,-0.05
06/01/1971,-0.17
07/01/1971,-0.08
08/01/1971,-0.01
09/01/1971,-0.06
10/01/1971,-0.04
11/01/1971,-0.07
12/01/1971,-0.08
01/01/1972,-0.22
02/01/1972,-0.18
03/01/1972,0.02
04/01/1972,0.00
05/01/1972,-0.03
06/01/1972,0.04
07/01/1972,0.01
08/01/1972,0.16
09/01/1972,0.02
10/01/1972,0.08
11/01/1972,0.02
12/01/1972,0.18
01/01/1973,0.29
02/01/1973,0.33
03/01/1973,0.29
04/01/1973,0.27
05/01/1973,0.23
06/01/1973,0.19
07/01/1973,0.13
08/01/1973,0.05
09/01/1973,0.09
10/01/1973,0.10
11/01/1973,0.05
12/01/1973,-0.07
01/01/1974,-0.10
02/01/1974,-0.27
03/01/1974,-0.05
04/01/1974,-0.11
05/01/1974,-0.04
06/01/1974,-0.05
07/01/1974,-0.03
08/01/1974,0.11
09/01/1974,-0.07
10/01/1974,-0.05
11/01/1974,-0.07
12/01/1974,-0.08
01/01/1975,0.10
02/01/1975,0.08
03/01/1975,0.13
04/01/1975,0.04
05/01/1975,0.16
06/01/1975,-0.01
07/01/1975,-0.01
08/01/1975,-0.17
09/01/1975,-0.02
10/01/1975,-0.11
11/01/1975,-0.17
12/01/1975,-0.17
01/01/1976,-0.03
02/01/1976,-0.06
03/01/1976,-0.21
04/01/1976,-0.07
05/01/1976,-0.20
06/01/1976,-0.12
07/01/1976,-0.10
08/01/1976,-0.12
09/01/1976,-0.06
10/01/1976,-0.24
11/01/1976,-0.05
12/01/1976,0.11
01/01/1977,0.18
02/01/1977,0.23
03/01/1977,0.25
04/01/1977,0.27
05/01/1977,0.33
06/01/1977,0.27
07/01/1977,0.20
08/01/1977,0.18
09/01/1977,0.02
10/01/1977,0.04
11/01/1977,0.17
12/01/1977,0.03
01/01/1978,0.07
02/01/1978,0.10
03/01/1978,0.19
04/01/1978,0.17
05/01/1978,0.09
06/01/1978,-0.01
07/01/1978,0.04
08/01/1978,-0.13
09/01/1978,0.06
10/01/1978,0.03
11/01/1978,0.14
12/01/1978,0.08
