A,B,C,D,E,Y
10,0,2,5,5,0.3
60,0,2,5,0,1.3
10,2,2,5,0,1
60,2,2,5,5,1.3
10,0,8,5,0,2
60,0,8,5,5,0.3
10,2,8,5,5,3
60,2,8,5,0,0
10,0,2,0,0,1
60,0,2,0,5,0.3
10,2,2,0,5,1
60,2,2,0,0,9
10,0,8,0,5,3
60,0,8,0,0,0.5
10,2,8,0,0,9
60,2,8,0,5,0
