X,Year,CrimeType ,CrimeDetails,CrimeCount,State
95,2011,Hurt,Hurt,0,Himachal Pradesh
96,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,Himachal Pradesh
97,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,4,Himachal Pradesh
98,2011,Other Crimes Against STs,Other Crimes Against STs,0,Himachal Pradesh
99,2011,Total,Total,4,Himachal Pradesh
100,2011,Murder,Murder,0,Jammu And Kashmir
101,2011,Rape,Rape,0,Jammu And Kashmir
102,2011,Kidnapping Abduction,Kidnapping Abduction,0,Jammu And Kashmir
103,2011,Dacoity,Dacoity,0,Jammu And Kashmir
104,2011,Robbery,Robbery,0,Jammu And Kashmir
105,2011,Arson,Arson,0,Jammu And Kashmir
106,2011,Hurt,Hurt,0,Jammu And Kashmir
107,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,Jammu And Kashmir
108,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,0,Jammu And Kashmir
109,2011,Other Crimes Against STs,Other Crimes Against STs,0,Jammu And Kashmir
110,2011,Total,Total,0,Jammu And Kashmir
111,2011,Murder,Murder,4,Jharkhand
112,2011,Rape,Rape,27,Jharkhand
113,2011,Kidnapping Abduction,Kidnapping Abduction,30,Jharkhand
114,2011,Dacoity,Dacoity,1,Jharkhand
115,2011,Robbery,Robbery,0,Jharkhand
116,2011,Arson,Arson,0,Jharkhand
117,2011,Hurt,Hurt,63,Jharkhand
118,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,Jharkhand
119,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,104,Jharkhand
120,2011,Other Crimes Against STs,Other Crimes Against STs,80,Jharkhand
121,2011,Total,Total,309,Jharkhand
122,2011,Murder,Murder,3,Karnataka
123,2011,Rape,Rape,2,Karnataka
124,2011,Kidnapping Abduction,Kidnapping Abduction,0,Karnataka
125,2011,Dacoity,Dacoity,0,Karnataka
126,2011,Robbery,Robbery,0,Karnataka
127,2011,Arson,Arson,0,Karnataka
128,2011,Hurt,Hurt,17,Karnataka
129,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,4,Karnataka
130,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,162,Karnataka
131,2011,Other Crimes Against STs,Other Crimes Against STs,97,Karnataka
132,2011,Total,Total,285,Karnataka
133,2011,Murder,Murder,0,Kerala
134,2011,Rape,Rape,109,Kerala
135,2011,Kidnapping Abduction,Kidnapping Abduction,0,Kerala
136,2011,Dacoity,Dacoity,0,Kerala
137,2011,Robbery,Robbery,0,Kerala
138,2011,Arson,Arson,0,Kerala
139,2011,Hurt,Hurt,42,Kerala
140,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,Kerala
141,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,22,Kerala
142,2011,Other Crimes Against STs,Other Crimes Against STs,58,Kerala
143,2011,Total,Total,231,Kerala
