timestamp,open,high,low,close,volume
10/20/2020,119.8,120.15,116.84,117.37,21462651
10/19/2020,126.8,127.35,125.08,125.52,7478735
10/16/2020,125.17,126.43,124.655,125.93,4714320
10/15/2020,124.08,125.215,123.85,124.89,3389301
10/14/2020,125.13,126.94,125.13,125.94,3730139
10/13/2020,126.57,127.15,124.46,125.1,5406088
10/12/2020,128.07,128.25,126.44,127.21,4635115
10/9/2020,132,132,127.6,127.79,8353704
10/8/2020,130.86,135.5,129.77,131.49,25288926
10/7/2020,122.67,124.39,122.32,124.07,2815663
10/6/2020,122.58,124.83,121.59,121.97,3872265
10/5/2020,121.84,122.75,121.05,122.01,3050949
10/2/2020,119.04,121.75,118.82,120.57,2925228
10/1/2020,122.36,123.3,120.355,121.09,3211661
9/30/2020,121.38,122.91,120.8,121.67,3261235
9/29/2020,121.41,122.1858,120.21,120.94,2130564
9/28/2020,120.57,122.33,120.41,121.73,3509576
9/25/2020,117.6,119.41,116.94,118.95,2953686
9/24/2020,118.1,119.515,116.48,118.09,3546160
9/23/2020,120.8,121.59,118.43,118.83,3939398
9/22/2020,120.33,121.45,119.53,120.51,2957809
9/21/2020,120.48,120.7,118.58,120.25,5311441
9/18/2020,124.26,124.92,122.65,122.76,5391570
9/17/2020,122.62,125.55,121.97,124.92,3171262
9/16/2020,122.71,125.82,122.71,124.22,3789458
9/15/2020,122.82,123.4,122.24,122.44,2915221
9/14/2020,122.36,123.38,121.76,122.09,3641887
9/11/2020,121.39,122.7,120.73,121.46,3548091
9/10/2020,122.53,123.5764,120.24,120.56,3978805
9/9/2020,122.13,123.7,121.29,122.26,3770678
9/8/2020,122.16,122.87,120.71,121.21,5210292
9/4/2020,124.35,125.35,121.24,122.3,6018238
9/3/2020,128.19,129.95,123.65,124.45,5716750
9/2/2020,123.72,128.7,123.575,128.18,6592430
9/1/2020,122.85,123.95,122.15,123.4,3155623
8/31/2020,125.25,125.25,123.03,123.31,4827879
8/28/2020,124.96,125.3,124.2187,125.07,3099940
8/27/2020,124.6,125.1,123.98,124.65,3422654
8/26/2020,124.95,125.12,123.95,124.17,3388687
8/25/2020,126,126.82,124.49,124.64,2977697
8/24/2020,123.79,126.06,123.36,125.68,4070816
8/21/2020,123.01,123.4842,122.31,123.16,3385051
8/20/2020,123.2,124.04,122.81,123.15,2561164
8/19/2020,124.83,125.5,123.5,123.84,3743949
8/18/2020,125,125.5,124.24,124.92,2882355
8/17/2020,125.25,125.59,124.41,124.44,3336459
8/14/2020,124.2,125.56,123.91,125.27,2963753
8/13/2020,125.96,126.39,124.77,125.03,3171258
8/12/2020,127.61,127.79,125.876,126.7,3530177
8/11/2020,128.76,130.47,126.61,126.75,5001176
8/10/2020,125.42,127.24,125.1849,127.11,3968295
8/7/2020,123.5,125.07,123.21,124.96,3651226
8/6/2020,125,126.26,125,126.12,3417131
8/5/2020,126.73,126.75,124.61,125.45,3675400
8/4/2020,123.82,125.86,123.82,125.84,3431366
8/3/2020,123.5,124.41,122.15,124.31,3526574
7/31/2020,122.71,122.99,121.09,122.94,5277652
7/30/2020,123.71,123.9046,121.64,122.9,3988062
7/29/2020,124.56,125.99,124.07,125.32,2833141
7/28/2020,125.82,126.34,124.15,124.47,4178176
7/27/2020,124.86,126.32,124.71,126.21,3733547
7/24/2020,126.48,127.6459,125.5,125.79,3531076
7/23/2020,129.1,129.37,127.15,127.33,4220136
7/22/2020,125.9,129.47,125.8,128.67,8195366
7/21/2020,131.16,132.17,125.8,126.06,15364900
7/20/2020,126.07,127.07,125.14,126.37,9927700
7/17/2020,124.39,125.63,123.2,125.11,3984600
7/16/2020,122.68,124.48,122.16,124.01,4330900
7/15/2020,122.4,123.96,122.15,123,4473400
7/14/2020,118.62,120.89,117.92,120.6,4534400
7/13/2020,119.78,120.99,118.66,119.2,4650700
7/10/2020,115.5,118.57,115.29,118.35,4285700
7/9/2020,118,118,115.2,115.71,4763000
7/8/2020,118.06,118.64,116.48,117.71,5192800
7/7/2020,119,119.51,117.33,117.58,4278100
7/6/2020,121.25,121.85,119.46,120.19,4045400
7/2/2020,119.69,121.42,119.26,119.7,3745800
7/1/2020,120.27,121.23,118.37,118.54,4655800
6/30/2020,119.19,121.2,119,120.77,3919500
6/29/2020,117.98,119.78,117.37,119.75,4159488
6/26/2020,118.26,118.99,116.26,117.19,10750100
6/25/2020,116.76,119.21,116.1,119.03,6130600
6/24/2020,118.32,118.32,115.88,116.42,6751000
6/23/2020,122.01,122.9,119.23,119.41,6632600
6/22/2020,122.12,122.5,120.53,121.07,4773500
6/19/2020,126.17,126.82,122.25,122.47,8099000
6/18/2020,123,124.4,122.33,124.16,2865400
6/17/2020,125.83,126.25,123.4,124.15,3154200
6/16/2020,125,127.5,123.16,125.15,5606700
6/15/2020,119.19,122.37,118.29,121.65,5149100
6/12/2020,121.25,123.12,119.28,121.91,6218100
6/11/2020,126.03,126.1,117.84,118.01,11763600
6/10/2020,132.15,132.23,129.8,129.87,4734800
6/9/2020,133.52,133.6,131.02,131.87,5393600
6/8/2020,132.27,135.88,132.27,135.75,5370500
6/5/2020,133.89,134.23,131.75,132.06,5892700
6/4/2020,127.78,128.95,127.02,128.89,3864800
6/3/2020,127.15,129.6,127,129.05,3917700
6/2/2020,125.67,126,124.66,126,2978100
6/1/2020,124.64,125.75,124.03,124.89,2871700
